kd_brg,nm_brg,hrg,jml,ktg
PRD070850,Susu Frisian Flag Sachet,Rp 1.500,58,Minuman
,Shampo Pantene Sachet,,-8,Perawatan Pribadi
PRD070852,Tisu Tessa 250s,Rp 17000,,Lainnya
PRD070853,Pembalut Charm Cooling Fresh,Rp 18.000,52,Perawatan Pribadi
PRD070854,Bumbu Racik Indofood Sayur Asem,2500,80,
PRD070855,Susu Dancow Sachet,3500,61,Minuman
PRD070856,Le Minerale 600ml,3500.00,100,
PRD070857,Deterjen Daia 850g,Rp 18500,31,Pembersih
PRD070858,Gula Pasir Gulaku 1kg,16000.00,99,Sembako
,Pasta Gigi Ciptadent 190g,10000,67,Perawatan Pribadi
PRD070860,Bumbu Racik Indofood Nasi Goreng,Rp 2500,24,Bumbu
PRD070861,Kopi Kapal Api Sachet,Rp 1500,-37,Minuman
PRD070862,Saus Sambal ABC 340ml,15000,30,Bumbu
PRD070863,Minyak Curah 1L,Rp 16000,57,
PRD070864,Sprite Botol 390ml,Rp 5000,49,Minuman
PRD070865,Kopi Luwak White Koffie,Rp 2.000,65.0,Minuman
PRD070866,Minyak Sania 2L, 34500 ,74,Sembako
PRD070867,Pasta Gigi Ciptadent 190g,,3,Perawatan Pribadi
PRD070868,Minyak Sania 2L, 34500 ,46,Sembako
PRD070869,Rokok Marlboro Merah,Rp 38000,40.0,Rokok
PRD070870,Gula Pasir Gulaku 1kg,Rp 16.000,7,Sembako
PRD070871,Kopi Luwak White Koffie,Rp 2000,61,Minuman
PRD070872,Kopi ABC Susu,1500,57,Minuman
PRD070873,Sabun Cuci Piring Sunlight 460ml,Rp 11000,23,Pembersih
PRD070874,Le Minerale 600ml,Rp 3.500,-82,Minuman
,Beras Ramos 5kg,Rp 65.000,75,Sembako
PRD070876,Teh Celup Sosro,7000.00,75,Minuman
PRD070877,Kapur Barus Bagus, 15000 ,7,Lainnya
PRD070878,Pembersih Lantai Super Pell 770ml,13500.00,29,Pembersih
PRD070879,Garam Kapal 250g,Rp 3.000,68,Bumbu
PRD070880,Teh Celup Sosro,7000,65,Minuman
PRD070881,Deterjen Daia 850g,Rp 18500,49,Pembersih
PRD070882,Susu Indomilk Sachet,1500,97,Minuman
PRD070883,Le Minerale 600ml, 3500 ,75.0,
PRD070884,Shampo Pantene Sachet,1500.00,,Perawatan Pribadi
PRD070885,Kopi Nescafe Classic,5000.00,75,Minuman
PRD070886,Popok MamyPoko Pants M,55000.00,3,Perawatan Bayi
PRD070887,Rokok Sampoerna Mild,30000,-75,Rokok
,Susu Bear Brand,Rp 10.500,50,Minuman
PRD070889,Obat Nyamuk Baygon Bakar, 6000 ,2,Lainnya
PRD070890,Pembersih Lantai Super Pell 770ml,13500,47,Pembersih
,Shampo Clear Sachet, 1500 ,29,Perawatan Pribadi
PRD070892,Popok MamyPoko Pants M,Rp 55000,27,Perawatan Bayi
,Pasta Gigi Ciptadent 190g,Rp 10000,40,Perawatan Pribadi
PRD070894,Indomie Kari Ayam,2800,79,Makanan
PRD070895,Indomie Goreng,3000,42,Makanan
PRD070896,Tepung Tapioka Rose Brand 500g,8000.00,67,Sembako
PRD070897,Shampo Lifebuoy Sachet,1000,61,Perawatan Pribadi
PRD070898,Sabun Nuvo Biru,Rp 3500,19,Perawatan Pribadi
,Sabun Cuci Piring Sunlight 460ml,Rp 11000,54,Pembersih
PRD070900,Rokok Gudang Garam Filter,23000,-65,Rokok
PRD070901,Mie Sedap Goreng,2900,58.0,Makanan
PRD070902,Beras Ramos 5kg, 65000 ,,Sembako
PRD070903,Kecap Bango Pouch 220ml, 11000 ,20,Bumbu
PRD070904,Garam Refina 250g,,61,
PRD070905,Le Minerale 600ml,Rp 3.500,82,Minuman
PRD070906,Sikat Gigi Formula,6000,60,Perawatan Pribadi
PRD070907,Sabun Cuci Piring Mama Lemon 400ml,9500.00,63.0,Pembersih
PRD070908,Sabun Cuci Piring Sunlight 460ml,Rp 11.000,73,Pembersih
,Saus Sambal ABC 340ml,15000,20.0,Bumbu
PRD070910,Tisu Tessa 250s, 17000 ,68,Lainnya
,Popok MamyPoko Pants M,Rp 55000,39,Perawatan Bayi
PRD070912,Pembalut Charm Cooling Fresh,Rp 18000,25,Perawatan Pribadi
PRD070913,Obat Nyamuk Baygon Bakar,6000,13,Lainnya
PRD070914,Teh Pucuk Harum 350ml,4000.00,55,Minuman
PRD070915,Rokok Marlboro Merah,38000,7,Rokok
PRD070916,,Rp 1500,58,Minuman
PRD070917,Sabun Cuci Piring Mama Lemon 400ml,9500.00,50,Pembersih
PRD070918,Aqua Botol 600ml,3500.00,17,
PRD070919,,20000.00,100,Perawatan Pribadi
PRD070920,Bumbu Racik Indofood Nasi Goreng,Rp 2500,36,Bumbu
PRD070921,Sabun Nuvo Biru,3500,,Perawatan Pribadi
PRD070922,Susu Frisian Flag Sachet,1500,39,Minuman
PRD070923,Indomie Goreng, 3000 ,76.0,Makanan
PRD070924,Sprite Botol 390ml,Rp 5000,54,Minuman
PRD070925,Pasta Gigi Ciptadent 190g,,67,Perawatan Pribadi
PRD070926,Deterjen Rinso Anti Noda 700g,Rp 22.000,46.0,Pembersih
PRD070927,Rokok Djarum Super,Rp 22.000,86,Rokok
PRD070928,Rokok Surya 16,31000,45,Rokok
PRD070929,Tisu Tessa 250s,17000,79,Lainnya
,,7500,55,Sembako
PRD070931,Kopi Torabika Susu,Rp 1500,-41,Minuman
PRD070932,Sabun Cuci Piring Mama Lemon 400ml,9500,95,Pembersih
PRD070933,Aqua Gelas 240ml, 1000 ,46,Minuman
PRD070934,Tisu Paseo 250s,Rp 18.500,5,Lainnya
PRD070935,Deterjen Daia 850g,Rp 18.500,97,Pembersih
PRD070936,Fanta Merah 390ml,5000,8,Minuman
PRD070937,Sabun Lux Mawar, 4500 ,69,Perawatan Pribadi
PRD070938,Pembalut Charm Cooling Fresh, 18000 ,34,Perawatan Pribadi
PRD070939,Kapur Barus Bagus,Rp 15.000,62,Lainnya
PRD070940,Margarin Forvita 200g,Rp 7.000,97,Sembako
PRD070941,Kapur Barus Bagus,Rp 15000,-60,
PRD070942,Indomie Kari Ayam,2800,91,Makanan
PRD070943,Deterjen Rinso Anti Noda 700g,22000,-50,Pembersih
PRD070944,Pembersih Lantai Wipol 750ml,Rp 18.000,16,Pembersih
,Garam Kapal 250g,3000.00,66,Bumbu
PRD070946,,Rp 5000,11,Minuman
PRD070947,Fanta Merah 390ml,5000,-46,Minuman
,Deterjen Attack Jaz1 800g,19000.00,,Pembersih
PRD070949,Deterjen Attack Jaz1 800g,19000.00,67,Pembersih
PRD070950,Pembersih Lantai Wipol 750ml,18000,-29,Pembersih
PRD070951,Bumbu Racik Indofood Sayur Asem,2500,55,Bumbu
PRD070952,,3000,,Lainnya
,Obat Nyamuk Hit Spray,35000,41,Lainnya
PRD070954,Aqua Gelas 240ml, 1000 ,56,Minuman
PRD070955,Rokok Djarum Super,Rp 22000,28,Rokok
PRD070956,Pembalut Charm Cooling Fresh,18000,96.0,Perawatan Pribadi
PRD070957,Gula Curah 1kg,15000.00,23,Sembako
PRD070958,Fanta Merah 390ml, 5000 ,59,Minuman
PRD070959,Tepung Terigu Segitiga Biru 1kg,13000,43,Sembako
PRD070960,Pasta Gigi Ciptadent 190g, 10000 ,16,Perawatan Pribadi
PRD070961,,9500.00,70,Pembersih
PRD070962,Teh Sariwangi Celup,Rp 6.500,35,Minuman
PRD070963,Indomie Goreng,3000.00,11,Makanan
PRD070964,Obat Nyamuk Hit Spray,Rp 35000,35,Lainnya
PRD070965,Indomie Kari Ayam,Rp 2.800,89.0,Makanan
PRD070966,Minyak Curah 1L, 16000 ,65,Sembako
PRD070967,Sabun Nuvo Biru,3500.00,96,Perawatan Pribadi
PRD070968,Teh Pucuk Harum 350ml,4000,22,Minuman
PRD070969,,7000,54.0,Minuman
,Susu Frisian Flag Sachet,1500.00,37.0,Minuman
PRD070971,Kecap Bango Pouch 220ml,11000,16,Bumbu
PRD070972,Garam Kapal 250g,,56,Bumbu
PRD070973,Minyak Curah 1L,16000.00,-89,Sembako
PRD070974,Tepung Terigu Segitiga Biru 1kg,13000,-22,Sembako
PRD070975,Teh Celup Sosro,,8,Minuman
PRD070976,Garam Kapal 250g,Rp 3.000,92,
PRD070977,Gula Pasir Gulaku 1kg,16000,15,Sembako
PRD070978,Coca Cola Botol 390ml,5000,10.0,Minuman
PRD070979,Deterjen Daia 850g, 18500 ,39,Pembersih
PRD070980,Rokok Sampoerna Mild, 30000 ,67,Rokok
PRD070981,Sabun Lux Mawar,Rp 4.500,0,
PRD070982,Beras Rojolele 5kg,67000.00,82,Sembako
PRD070983,Susu Indomilk Sachet,1500,96,Minuman
PRD070984,Sabun Lifebuoy Merah,Rp 4.000,16.0,
PRD070985,Teh Celup Sosro,Rp 7000,80,Minuman
PRD070986,Pembersih Lantai Wipol 750ml,18000.00,-76,Pembersih
PRD070987,Kopi ABC Susu,Rp 1500,78,Minuman
PRD070988,Kecap ABC Pouch 220ml,9500,80,Bumbu
PRD070989,Minyak Filma 2L,34000,88,Sembako
PRD070990,Teh Sariwangi Celup,6500.00,78,Minuman
PRD070991,Le Minerale 600ml,Rp 3.500,28,Minuman
PRD070992,Minyak Filma 2L, 34000 ,17,Sembako
PRD070993,Kapur Barus Bagus, 15000 ,74,Lainnya
PRD070994,Margarin Blue Band 200g,Rp 9500,100,Sembako
PRD070995,Beras Ramos 5kg,65000.00,9,Sembako
,Pasta Gigi Ciptadent 190g,Rp 10.000,77.0,Perawatan Pribadi
PRD070997,Gula Curah 1kg,Rp 15.000,-24,
PRD070998,Rokok Sampoerna Mild,,63,Rokok
PRD070999,Obat Nyamuk Hit Spray,35000.00,1,Lainnya
PRD071000,Minyak Bimoli 2L,Rp 35000,72,
